looptime,ax,ay,az,gx,gy,gz,baro_temp,baro_pressure
442500,0.1,-1.06,0.28,13.02,-4.44,3.88,30.28,96764.85
442535,-0.24,-0.96,0.11,4.57,-9.56,1.38,30.28,96764.55
442572,-0.19,-0.97,0.23,3.95,-8.23,1,30.28,96764.55
442607,-0.13,-0.96,0.19,-1.46,-10.18,3.71,30.29,96767.11
442641,-0.16,-0.97,0.18,-6.19,0.83,8.54,30.29,96765.98
442676,-0.22,-0.98,0.13,-5.94,-1.82,3.79,30.29,96765.98
442712,-0.2,-0.97,0.1,-0.4,-9.97,-1.49,30.29,96766.91
442746,-0.2,-0.97,0.11,3.25,-18.04,-4.18,30.29,96766.91
442783,-0.19,-0.97,0.12,3.86,0.23,-6.65,30.28,96767.71
442820,-0.13,-0.96,0.14,5.06,9.92,-7,30.28,96767.71
442855,-0.12,-0.97,0.17,6.12,-3.14,-5.26,30.28,96765.88
442889,-0.11,-0.97,0.16,2.76,15.13,-2.82,30.28,96765.88
442921,-0.09,-0.96,0.22,1.66,9.28,0.08,30.28,96765.18
442957,-0.13,-0.97,0.17,-0.37,3.63,1.99,30.28,96765.18
442993,-0.13,-0.97,0.19,-3.18,15.07,2.75,30.28,96765.15
443026,-0.14,-0.97,0.18,-1.59,-7.65,2.13,30.28,96765.15
443060,-0.17,-0.97,0.14,-2.22,-1.8,1.74,30.28,96763.86
443101,-0.15,-0.97,0.16,-0.2,-2.17,0.32,30.28,96767.35
443134,-0.17,-0.97,0.12,0.99,-4.32,-0.1,30.28,96767.35
443168,-0.16,-0.97,0.16,1.48,4.37,-0.27,30.28,96765.85
443203,-0.16,-0.97,0.16,3.02,-2.38,-0.55,30.28,96765.85
443239,-0.17,-0.97,0.16,1.64,9.13,-0.96,30.28,96764.02
443273,-0.16,-0.97,0.18,1.61,8.15,-1.1,30.28,96764.02
443307,-0.15,-0.97,0.17,1.52,1.15,-1.45,30.28,96766.35
443341,-0.16,-0.97,0.18,0.48,2.44,-1.13,30.28,96766.35
443382,-0.15,-0.96,0.18,-0.86,2.08,-0.7,30.28,96765.35
443438,-0.15,-0.97,0.16,-1.81,-1.6,0.81,30.27,96764.46
443470,-0.15,-0.96,0.15,-1.73,-1.74,1.16,30.27,96764.46
443506,-0.16,-0.97,0.15,-1.18,-2.59,1.29,30.28,96765.99
443543,-0.16,-0.97,0.15,-0.25,-1.66,1.13,30.28,96765.99
443577,-0.16,-0.96,0.15,0.5,-0.01,0.55,30.28,96767.17
443611,-0.17,-0.97,0.14,1.35,1.07,-0.27,30.28,96767.17
443644,-0.16,-0.97,0.15,1.96,1.94,-0.87,30.28,96766.17
443680,-0.16,-0.97,0.16,2.3,2.44,-1.43,30.28,96766.17
443719,-0.16,-0.97,0.17,1.57,2.21,-1.43,30.28,96767.32
443756,-0.15,-0.96,0.18,0.68,1.82,-0.82,30.27,96764.96
443807,-0.15,-0.97,0.17,-0.75,-0.26,-0.01,30.27,96764.96
443843,-0.15,-0.96,0.17,-1.12,-0.98,0.77,30.27,96765.95
443878,-0.15,-0.97,0.16,-1.39,-1.85,1.24,30.27,96765.95
443913,-0.16,-0.97,0.16,-1.24,-1.88,1.3,30.27,96766.28
443948,-0.16,-0.97,0.14,-1.07,-1.66,1.01,30.27,96766.28
443982,-0.17,-0.96,0.14,0.39,-0.61,0.58,30.27,96766.45
444017,-0.17,-0.97,0.15,1.38,0.9,-0.29,30.27,96765.95
444057,-0.16,-0.97,0.15,1.8,1.85,-1.17,30.27,96765.95
444091,-0.16,-0.97,0.16,1.75,1.8,-1.68,30.27,96769.44
444125,-0.16,-0.97,0.17,1.35,2.14,-1.61,30.27,96769.44
444161,-0.14,-0.97,0.17,0.86,1.57,-0.96,30.27,96765.28
444195,-0.14,-0.96,0.16,0.21,0.57,-0.07,30.27,96765.28
444228,-0.14,-0.97,0.17,-0.8,-0.5,0.71,30.27,96766.58
444263,-0.16,-0.97,0.17,-1.2,-1.37,1.27,30.27,96766.58
444299,-0.16,-0.96,0.16,-1.06,-1.95,1.21,30.27,96765.39
444337,-0.16,-0.97,0.15,-0.81,-1.45,1.18,30.27,96765.39
444370,-0.17,-0.97,0.15,-0.04,-1.02,0.66,30.27,96767.75
444406,-0.17,-0.97,0.14,0.54,-0.24,-0.23,30.27,96767.75
444442,-0.16,-0.97,0.14,0.99,1.19,-0.87,30.27,96767.91
444475,-0.17,-0.97,0.15,1.64,1.51,-1.58,30.27,96767.91
444509,-0.16,-0.97,0.17,1.38,1.94,-1.48,30.27,96767.91
444545,-0.15,-0.97,0.17,1.31,2.12,-0.82,30.27,96767.41
444580,-0.14,-0.97,0.17,0.61,0.81,-0.38,30.27,96767.41
444613,-0.15,-0.97,0.17,-0.17,0.03,0.42,30.27,96766.58
444651,-0.15,-0.97,0.17,-0.97,-0.95,1.03,30.27,96766.58
444688,-0.16,-0.97,0.16,-0.83,-1.48,1.15,30.27,96763.57
444722,-0.16,-0.97,0.16,-1.26,-1.86,1.18,30.27,96763.57
